Titre;Année;Artistes;Style;Guitare;Note
Layla;1986;Eric Clapton, Phil Collins, Nathan East, Greg Phillinganes;Blues;Electrique;10
Layla;1992;Eric Clapton, Andy Fairweather Low, Chuck Leavell, Nathan East, Steve Ferrone, Ray Cooper, Katie Kissoon, Tessa Niles;Blues;Acoustique;9
Tears in heaven;1999;Eric Clapton, Andy Fairweather Low, Tim Carmon, David Delhomme, Nathan East, Steve Gadd, Katie Kissoon, Tessa Niles;Blues;Acoustique;9
The thrill is gone;1993;B.B. King;Blues;Electrique;8
Rock me baby;1993;B.B. King, Eric Clapton;Blues;Electrique;
Sweet little angel;1993;B.B. King, Eric Clapton, Buddy Guy, Albert Collins, Jeff Beck;Blues;Electrique;
Let the good times roll;1993;B.B. King, Eric Clapton, Buddy Guy, Albert Collins, Jeff Beck;Blues;Electrique;
Gin house Blues;2013;Eric Clapton, Andy Fairweather Low;Blues;Electrique;
Bohemian Rhapsody;1985;Queen;Rock;Electrique;
In the air tonight;1986;Eric Clapton, Phil Collins, Nathan East, Greg Phillinganes;Rock;Electrique;
